trial_idx,B,J,K,human_choice,model_choice,lp_B,lp_J,lp_K,prob_B,prob_J,prob_K,nll,correct,model
34,eyeliner,shopping basket,flipper,K,B,-0.004905314184725285,-5.7861552238464355,-6.306991100311279,0.9951067260370436,0.00306976215327172,0.001823511809684411,6.306991100311279,False,Llama-3.3-70B-Instruct
35,bowtie,wooden leg,kangaroo,K,B,-0.44724011421203613,-9.561821937561035,-1.020154356956482,0.639390355620796,7.036448128614214e-05,0.3605392798979178,1.020154356956482,False,Llama-3.3-70B-Instruct
36,puffin,wire cutters,battery,B,B,0.0,-25.182289123535156,-23.489582061767578,0.9999999999255331,1.1573661918759918e-11,6.289326316570513e-11,-0.0,True,Llama-3.3-70B-Instruct
37,toilet,rack,star fruit,K,B,-0.007449950557202101,-18.549114227294922,-4.903278350830078,0.99257778030876,8.794721032275344e-09,0.007422210896519108,4.903278350830078,False,Llama-3.3-70B-Instruct
38,stingray,cork,fire pit,B,B,-8.344653679159819e-07,-14.166672706604004,-16.250003814697266,0.9999992084882051,7.038696433351705e-07,8.764215163005289e-08,8.344653679159819e-07,True,Llama-3.3-70B-Instruct
39,bun,snow,tinsel,J,B,0.0,-24.479167938232422,-29.895835876464844,0.9999999999765168,2.3379350550699855e-11,1.0384926973977717e-13,24.479167938232422,False,Llama-3.3-70B-Instruct
40,almond,trailer,paper,B,B,-5.579150456469506e-05,-9.843806266784668,-12.812559127807617,0.9999441987752291,5.307490830309879e-05,2.7263164677279945e-06,5.579150456469506e-05,True,Llama-3.3-70B-Instruct
41,anteater,chalice,wedge,B,B,0.0,-21.302082061767578,-24.348957061767578,0.9999999994128077,5.605615524795159e-10,2.6630683168070434e-11,-0.0,True,Llama-3.3-70B-Instruct
42,scone,pie,ant,K,K,-28.046875,-inf,0.0,6.597766673216057e-13,0.0,0.9999999999993403,-0.0,True,Llama-3.3-70B-Instruct
43,heater,aircraft carrier,joystick,B,B,0.0,-26.354167938232422,-25.494792938232422,0.9999999999879472,3.5853395285995183e-12,8.46743964365736e-12,-0.0,True,Llama-3.3-70B-Instruct
44,comic book,playing card,organ,K,K,-22.447914123535156,-34.166664123535156,0.0,1.782357286144653e-10,1.4507958547376268e-15,0.9999999998217628,-0.0,True,Llama-3.3-70B-Instruct
45,flag,measuring cup,strawberry,B,B,-5.3287971240933985e-05,-15.312557220458984,-9.843803405761719,0.9999467011497922,2.2379011011834985e-07,5.307506009759079e-05,5.3287971240933985e-05,True,Llama-3.3-70B-Instruct
46,bunkbed,tractor,windshield,B,J,-14.375000953674316,-5.960466182841628e-07,-21.927085876464844,5.715002424780121e-07,0.9999994281997117,3.000458402179535e-10,14.375000953674316,False,Llama-3.3-70B-Instruct
47,aircraft carrier,prism,turban,K,B,0.0,-18.749996185302734,-19.895832061767578,0.9999999905183986,7.194160405605165e-09,2.2874410919826876e-09,19.895832061767578,False,Llama-3.3-70B-Instruct
48,egg,scrambled egg,doorknocker,K,K,-35.18229293823242,-inf,0.0,5.254414338417498e-16,0.0,0.9999999999999996,-0.0,True,Llama-3.3-70B-Instruct
49,microscope,stained glass,strainer,J,B,-8.225474630307872e-06,-11.718758583068848,-17.031261444091797,0.9999918201854175,8.139689387658065e-06,4.012519488884326e-08,11.718758583068848,False,Llama-3.3-70B-Instruct
